City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,st. john's,47.5649,-52.7093,285.91,96,75,2.06,CA,1697078539
284,urdinarrain,-32.6857,-58.8932,281.3,81,6,3.02,AR,1697078540
285,bhuban,20.8833,85.8333,301.8,66,1,1.5,IN,1697078540
286,sroda slaska,51.1641,16.5951,291.1,71,100,4.81,PL,1697078540
287,chipinge,-20.1883,32.6236,290.37,53,0,1.4,ZW,1697078541
288,zaozersk,69.4005,32.4476,273.17,93,100,11.27,RU,1697078541
289,dapa,9.7594,126.0531,302.31,72,61,2.95,PH,1697078541
290,san luis,-33.295,-66.3356,281.87,31,0,5.83,AR,1697078360
291,san patricio,28.017,-97.5169,296.95,88,91,2.41,US,1697078542
292,daru,-9.0763,143.2092,297.9,95,100,7.91,PG,1697078542
293,klyuchi,52.2667,79.1667,282.83,44,100,1.62,RU,1697078543
294,port lincoln,-34.7333,135.8667,289.48,57,12,8.18,AU,1697078543
295,murzuq,25.9155,13.9184,293.23,35,0,3.64,LY,1697078543
296,chernyshevskiy,63.0128,112.4714,276.14,88,100,2.16,RU,1697078543
297,novo aripuana,-5.1206,-60.3797,301.61,44,46,0.62,BR,1697078544
298,ploneour-lanvern,47.9,-4.2833,292.33,94,100,4.12,FR,1697078544
299,horta,38.5333,-28.6333,292.6,91,48,3.58,PT,1697078545
300,la passe,45.5549,-0.8967,286.28,60,78,2.45,FR,1697078545
301,bonito,-21.1211,-56.4819,301.93,47,48,2.32,BR,1697078546
302,kailahun,8.2833,-10.5667,294.77,100,100,0.55,SL,1697078546
303,sur,22.5667,59.5289,303.35,48,0,2.24,OM,1697078546
304,pachino,36.7186,15.0907,295.47,60,2,0.96,IT,1697078547
305,iskateley,67.6803,53.1512,274.27,76,10,4.02,RU,1697078547
306,santa cruz,-17.8,-63.1667,300.85,69,100,2.57,BO,1697078398
307,dabat,12.9842,37.765,286.07,64,99,1.41,ET,1697078548
308,nova vicosa,-17.8919,-39.3719,295.7,82,6,3.72,BR,1697078548
309,san luis de la loma,17.2706,-100.8939,298.36,85,97,1.6,MX,1697078548
310,acajutla,13.5928,-89.8275,299.85,83,100,1.48,SV,1697078549
311,kingston,17.997,-76.7936,302.68,79,20,5.66,JM,1697078379
312,tuy hoa,13.0833,109.3,301.64,79,100,4.87,VN,1697078255
313,diyarbakir,37.9158,40.2189,287.14,44,0,3.09,TR,1697078549
314,hailar,49.2,119.7,287.94,36,0,3.18,CN,1697078550
315,wynyard,-41.0,145.7167,285.84,69,100,5.96,AU,1697078550
316,notodden,59.5594,9.2585,282.33,73,7,4.15,NO,1697078550
317,afaahiti,-17.75,-149.2833,301.08,79,25,6.97,PF,1697078551
318,soe,-9.8607,124.284,303.1,33,3,5.26,ID,1697078551
319,svedala,55.5079,13.2352,284.27,77,0,6.69,SE,1697078551
320,kailua-kona,19.6406,-155.9956,301.13,78,75,4.63,US,1697078397
321,dzuunmod,48.2199,97.3744,280.59,43,0,1.49,MN,1697078552
322,badger,64.8,-147.5333,270.57,90,100,2.57,US,1697078366
323,yeed,4.55,43.0333,298.52,72,83,4.18,SO,1697078552
324,ghadamis,30.1337,9.5007,294.04,43,0,4.06,LY,1697078553
325,hobyo,5.3505,48.5268,299.68,82,87,4.1,SO,1697078553
326,avarua,-21.2078,-159.775,298.18,69,100,5.66,CK,1697078553
327,senise,40.1471,16.2889,290.2,62,0,1.05,IT,1697078554
328,barra dos coqueiros,-10.9089,-37.0386,297.16,88,75,2.57,BR,1697078554
329,urangan,-25.3,152.9,295.78,60,0,3.77,AU,1697078554
330,yulinshi,38.2906,109.7494,287.16,53,100,2.82,CN,1697078357
331,hereford,52.0568,-2.7148,284.29,96,100,2.88,GB,1697078555
332,talcahuano,-36.7167,-73.1167,283.97,76,0,4.63,CL,1697078555
333,oued fodda,36.185,1.533,292.96,77,0,0.0,DZ,1697078555
334,pogoanele,44.9167,27.0,281.84,78,9,3.32,RO,1697078556
335,guitiriz,43.1817,-7.8966,291.73,51,89,1.23,ES,1697078556
336,inari,68.906,27.0288,272.26,95,100,7.6,FI,1697078556
337,ghat,24.9647,10.1728,295.15,31,9,2.04,LY,1697078257
338,cabrobo,-8.5142,-39.31,297.19,60,4,8.91,BR,1697078557
339,degache,33.9761,8.2081,295.33,83,0,3.6,TN,1697078557
340,novyy urgal,51.0736,132.5642,283.7,49,12,1.61,RU,1697078557
341,wajir,1.7471,40.0573,298.24,69,100,5.0,KE,1697078558
342,al qitena,14.8648,32.3668,302.56,43,3,3.46,SD,1697078558
343,fauske,67.2588,15.3918,277.17,84,22,2.26,NO,1697078558
344,siwa oasis,29.2041,25.5195,294.76,62,0,1.68,EG,1697078558
345,yanbu,24.0891,38.0637,302.17,84,0,4.63,SA,1697078559
346,plyeshchanitsy,54.4222,27.8331,287.42,76,100,7.86,BY,1697078559
347,sittwe,20.15,92.9,300.31,83,36,3.13,MM,1697078559
348,fortuna,40.5982,-124.1573,286.34,91,100,2.06,US,1697078560
349,benson,51.6207,-1.1098,290.91,97,100,5.14,GB,1697078560
350,atar,20.5169,-13.0499,302.07,16,8,4.08,MR,1697078560
351,sbiba,35.5433,9.0737,289.54,54,0,0.81,TN,1697078560
352,zemio,5.0314,25.1361,294.11,95,100,0.58,CF,1697078561
353,suining,30.508,105.5733,289.57,95,100,2.47,CN,1697078358
354,ha'il,27.5219,41.6907,298.16,20,0,4.12,SA,1697078561
355,punta del este,-34.9667,-54.95,282.21,62,40,7.2,UY,1697078513
356,clarence town,-32.5833,151.7833,305.71,13,27,4.65,AU,1697078562
357,tura,25.5198,90.2201,300.11,74,0,0.26,IN,1697078562
358,namtsy,62.7161,129.6658,280.95,57,12,6.83,RU,1697078562
359,arraial do cabo,-22.9661,-42.0278,296.07,88,0,6.17,BR,1697078563
360,martapura,-3.4167,114.85,308.78,34,97,2.22,ID,1697078563
361,skovorodino,53.9833,123.9167,286.62,47,70,2.88,RU,1697078563
362,al muwayh,22.4333,41.7583,295.07,23,0,2.66,SA,1697078564
363,dunedin,-45.8742,170.5036,292.08,37,67,6.17,NZ,1697078564
364,nuuk,64.1835,-51.7216,273.49,74,75,7.72,GL,1697078564
365,nabire,-3.3667,135.4833,303.46,65,100,0.7,ID,1697078564
